Title,Publication Date,Author,Location,Summary,Full Article Content,URL
"She Fell in Love With ChatGPT. Like, Actual Love. With Sex.",2025-02-25T11:00:10+0000,"By Natalie Kitroeff, Kashmir Hill, Nina Feldman, Sydney Harper, Shannon M. Lin, Mary Wilson, Brendan Klinkenberg, Michael Benoist, Diane Wong, Marion Lozano, Rowan Niemisto, Elisheba Ittoop, Pat McCusker and Chris Wood",Podcasts,"The story of a woman who is dating an A.I. chatbot, and what it tells us about love and technology.",Warning: This episode discusses sexual themes.,https://www.nytimes.com/2025/02/25/podcasts/the-daily/ai-chatgpt-boyfriend-relationship.html
ChatGPT Is Restored After Hourslong Outage,2025-01-23T13:02:14+0000,By Victor Mather,Business Day,"Thousands of users were unable to access OpenAI’s chatbot starting around 6 a.m. on Thursday. Shortly after 10 a.m., the company said the issue had been resolved.","ChatGPT was disrupted for several hours on Thursday morning, with thousands of users reporting difficulty accessing the chatbot before service was restored.",https://www.nytimes.com/2025/01/23/business/chatgpt-down-open-ai.html
She Is in Love With ChatGPT,2025-01-15T14:00:09+0000,By Kashmir Hill,Technology,"A 28-year-old woman with a busy social life spends hours on end talking to her A.I. boyfriend for advice and consolation. And yes, they do have sex.",Ayrin’s love affair with her A.I. boyfriend started last summer.,https://www.nytimes.com/2025/01/15/technology/ai-chatgpt-boyfriend-companion.html
"How Helpful Is Operator, OpenAI’s New A.I. Agent?",2025-02-01T10:01:31+0000,By Kevin Roose,Technology,"Operator, a new computer-using tool from OpenAI, is brittle and occasionally erratic, but it points to a future of powerful A.I. agents.","In the past week, OpenAI’s Operator has done the following things for me:",https://www.nytimes.com/2025/02/01/technology/openai-operator-agent.html
They Invested Billions. Then the A.I. Script Got Flipped.,2025-01-29T10:03:18+0000,By Erin Griffith,Technology,Venture capitalists plowed money into A.I. start-ups like OpenAI and Anthropic. But the rise of the Chinese A.I. start-up DeepSeek has called that funding frenzy into question.,"Jordan Jacobs, an investor at the venture capital firm Radical Ventures, has spent the last few days fielding half a dozen calls from his firm’s investors. All of them wanted to know about DeepSeek, a Chinese artificial intelligence app that topped the app stores over the weekend. ",https://www.nytimes.com/2025/01/29/technology/deepseek-ai-startups-venture-capital.html
First Impressions of DeepSeek’s A.I. Chatbot,2025-01-27T23:33:09+0000,By Eli Tan,Technology,"The chatbot from China appears to perform a number of tasks as well as its American competitors do, but it censors topics such as Tiananmen Square.","A new chatbot created by the Chinese company DeepSeek is the talk of the A.I. world, and has sent a jolt through the U.S. stock market. Not only does it seem to be comparable to those of leading companies like OpenAI and Anthropic, but it was seemingly created with a fraction of the resources.",https://www.nytimes.com/2025/01/27/technology/deepseek-ai-chatbot-first-impressions.html
OpenAI Unveils A.I. Agent That Can Use Websites on Its Own,2025-01-23T18:00:06+0000,By Cade Metz,Technology,"The new tool, called Operator, can shop for groceries or book a restaurant reservation. But it still needs help from humans.","Two years ago, OpenAI launched the chatbot craze with the release of ChatGPT. Now it hopes to spark interest in a new wave of A.I. technology.",https://www.nytimes.com/2025/01/23/technology/openai-operator-launch.html
OpenAI Courts Trump With Vision for ‘A.I. in America’,2025-01-13T11:00:10+0000,By Cade Metz and Cecilia Kang,Technology,The maker of ChatGPT hopes to spur investment from the Middle East and avoid strict regulations on the development of new technologies.,"In December, Sam Altman, OpenAI’s chief executive, donated $1 million to President-elect Donald J. Trump’s inaugural fund, joining a number of other tech executives who are working to improve their relationships with Mr. Trump.",https://www.nytimes.com/2025/01/13/technology/openai-economic-blueprint.html
At the Intersection of A.I. and Spirituality,2025-01-03T10:00:23+0000,By Eli Tan,Technology,"Modern religious leaders are experimenting with A.I. just as earlier generations examined radio, television and the internet.","To members of his synagogue, the voice that played over the speakers of Congregation Emanu El in Houston sounded just like Rabbi Josh Fixler’s.",https://www.nytimes.com/2025/01/03/technology/ai-religious-leaders.html
The 2024 Good Tech Awards,2024-12-30T17:00:02+0000,By Kevin Roose,Technology,"In a year of continued A.I. progress, “founder mode” drama and a Trump election win, a few tech projects stood out for their clear benefits to humanity.","In the tech industry, 2024 was a year of fast change and shifting winds.",https://www.nytimes.com/2024/12/30/technology/good-tech-awards.html
