Title,Publication Date,Author,Location,Summary,Full Article Content,URL,Word Count,Sentence Count,Character Count,Avg Word Length,Year-Month,Cleaned Text,Tokens,Lemmatized Text,Sentiment Score,Sentiment Category,Tokenized Text,Dominant Topic
"She Fell in Love With ChatGPT. Like, Actual Love. With Sex.",2025-02-25 11:00:10+00:00,"By Natalie Kitroeff, Kashmir Hill, Nina Feldman, Sydney Harper, Shannon M. Lin, Mary Wilson, Brendan Klinkenberg, Michael Benoist, Diane Wong, Marion Lozano, Rowan Niemisto, Elisheba Ittoop, Pat McCusker and Chris Wood",Podcasts,"The story of a woman who is dating an A.I. chatbot, and what it tells us about love and technology.",Warning: This episode discusses sexual themes.,https://www.nytimes.com/2025/02/25/podcasts/the-daily/ai-chatgpt-boyfriend-relationship.html,6,2,46,6.833333333333333,2025-02,warning episode discusses sexual themes,"['warning', 'episode', 'discusses', 'sexual', 'themes']",warn episode discuss sexual theme,-0.34,Negative,"['warning', 'episode', 'discusses', 'sexual', 'themes']",4
ChatGPT Is Restored After Hourslong Outage,2025-01-23 13:02:14+00:00,By Victor Mather,Business Day,"Thousands of users were unable to access OpenAI’s chatbot starting around 6 a.m. on Thursday. Shortly after 10 a.m., the company said the issue had been resolved.","ChatGPT was disrupted for several hours on Thursday morning, with thousands of users reporting difficulty accessing the chatbot before service was restored.",https://www.nytimes.com/2025/01/23/business/chatgpt-down-open-ai.html,22,2,156,6.136363636363637,2025-01,chatgpt disrupted several hours thursday morning thousands users reporting difficulty accessing chatbot service restored,"['chatgpt', 'disrupted', 'several', 'hours', 'thursday', 'morning', 'thousands', 'users', 'reporting', 'difficulty', 'accessing', 'chatbot', 'service', 'restored']",chatgpt disrupt several hour thursday morning thousand user report difficulty access chatbot service restore,0.0,Neutral,"['chatgpt', 'disrupted', 'several', 'hours', 'thursday', 'morning', 'thousands', 'users', 'reporting', 'difficulty', 'accessing', 'chatbot', 'service', 'restored']",0
She Is in Love With ChatGPT,2025-01-15 14:00:09+00:00,By Kashmir Hill,Technology,"A 28-year-old woman with a busy social life spends hours on end talking to her A.I. boyfriend for advice and consolation. And yes, they do have sex.",Ayrin’s love affair with her A.I. boyfriend started last summer.,https://www.nytimes.com/2025/01/15/technology/ai-chatgpt-boyfriend-companion.html,10,4,64,5.5,2025-01,ayrin’s love affair ai boyfriend started last summer,"['ayrin', '’s', 'love', 'affair', 'ai', 'boyfriend', 'started', 'last', 'summer']",ayrin ’s love affair ai boyfriend start last summer,0.6369,Positive,"['ayrin', '’', 's', 'love', 'affair', 'ai', 'boyfriend', 'started', 'last', 'summer']",2
"How Helpful Is Operator, OpenAI’s New A.I. Agent?",2025-02-01 10:01:31+00:00,By Kevin Roose,Technology,"Operator, a new computer-using tool from OpenAI, is brittle and occasionally erratic, but it points to a future of powerful A.I. agents.","In the past week, OpenAI’s Operator has done the following things for me:",https://www.nytimes.com/2025/02/01/technology/openai-operator-agent.html,13,1,73,4.6923076923076925,2025-02,past week openai’s operator done following things,"['past', 'week', 'openai', '’s', 'operator', 'done', 'following', 'things']",past week openai ’s operator do follow thing,0.0,Neutral,"['past', 'week', 'openai', '’', 's', 'operator', 'done', 'following', 'things']",1
They Invested Billions. Then the A.I. Script Got Flipped.,2025-01-29 10:03:18+00:00,By Erin Griffith,Technology,Venture capitalists plowed money into A.I. start-ups like OpenAI and Anthropic. But the rise of the Chinese A.I. start-up DeepSeek has called that funding frenzy into question.,"Jordan Jacobs, an investor at the venture capital firm Radical Ventures, has spent the last few days fielding half a dozen calls from his firm’s investors. All of them wanted to know about DeepSeek, a Chinese artificial intelligence app that topped the app stores over the weekend. ",https://www.nytimes.com/2025/01/29/technology/deepseek-ai-startups-venture-capital.html,47,3,282,5.0,2025-01,jordan jacobs investor venture capital firm radical ventures spent last days fielding half dozen calls firm’s investors wanted know deepseek chinese artificial intelligence app topped app stores weekend,"['jordan', 'jacobs', 'investor', 'venture', 'capital', 'firm', 'radical', 'ventures', 'spent', 'last', 'days', 'fielding', 'half', 'dozen', 'calls', 'firm', '’s', 'investors', 'wanted', 'know', 'deepseek', 'chinese', 'artificial', 'intelligence', 'app', 'topped', 'app', 'stores', 'weekend']",jordan jacobs investor venture capital firm radical venture spend last day field half dozen call firm ’s investor want know deepseek chinese artificial intelligence app top app store weekend,0.4767,Positive,"['jordan', 'jacobs', 'investor', 'venture', 'capital', 'firm', 'radical', 'ventures', 'spent', 'last', 'days', 'fielding', 'half', 'dozen', 'calls', 'firm', '’', 's', 'investors', 'wanted', 'know', 'deepseek', 'chinese', 'artificial', 'intelligence', 'app', 'topped', 'app', 'stores', 'weekend']",4
First Impressions of DeepSeek’s A.I. Chatbot,2025-01-27 23:33:09+00:00,By Eli Tan,Technology,"The chatbot from China appears to perform a number of tasks as well as its American competitors do, but it censors topics such as Tiananmen Square.","A new chatbot created by the Chinese company DeepSeek is the talk of the A.I. world, and has sent a jolt through the U.S. stock market. Not only does it seem to be comparable to those of leading companies like OpenAI and Anthropic, but it was seemingly created with a fraction of the resources.",https://www.nytimes.com/2025/01/27/technology/deepseek-ai-chatbot-first-impressions.html,54,7,294,4.462962962962963,2025-01,new chatbot created chinese company deepseek talk ai world sent jolt us stock market seem comparable leading companies like openai anthropic seemingly created fraction resources,"['new', 'chatbot', 'created', 'chinese', 'company', 'deepseek', 'talk', 'ai', 'world', 'sent', 'jolt', 'us', 'stock', 'market', 'seem', 'comparable', 'leading', 'companies', 'like', 'openai', 'anthropic', 'seemingly', 'created', 'fraction', 'resources']",new chatbot create chinese company deepseek talk ai world send jolt we stock market seem comparable lead company like openai anthropic seemingly create fraction resource,0.6705,Positive,"['new', 'chatbot', 'created', 'chinese', 'company', 'deepseek', 'talk', 'ai', 'world', 'sent', 'jolt', 'us', 'stock', 'market', 'seem', 'comparable', 'leading', 'companies', 'like', 'openai', 'anthropic', 'seemingly', 'created', 'fraction', 'resources']",1
OpenAI Unveils A.I. Agent That Can Use Websites on Its Own,2025-01-23 18:00:06+00:00,By Cade Metz,Technology,"The new tool, called Operator, can shop for groceries or book a restaurant reservation. But it still needs help from humans.","Two years ago, OpenAI launched the chatbot craze with the release of ChatGPT. Now it hopes to spark interest in a new wave of A.I. technology.",https://www.nytimes.com/2025/01/23/technology/openai-operator-launch.html,26,5,142,4.5,2025-01,two years ago openai launched chatbot craze release chatgpt hopes spark interest new wave ai technology,"['two', 'years', 'ago', 'openai', 'launched', 'chatbot', 'craze', 'release', 'chatgpt', 'hopes', 'spark', 'interest', 'new', 'wave', 'ai', 'technology']",two year ago openai launch chatbot craze release chatgpt hope spark interest new wave ai technology,0.765,Positive,"['two', 'years', 'ago', 'openai', 'launched', 'chatbot', 'craze', 'release', 'chatgpt', 'hopes', 'spark', 'interest', 'new', 'wave', 'ai', 'technology']",1
OpenAI Courts Trump With Vision for ‘A.I. in America’,2025-01-13 11:00:10+00:00,By Cade Metz and Cecilia Kang,Technology,The maker of ChatGPT hopes to spur investment from the Middle East and avoid strict regulations on the development of new technologies.,"In December, Sam Altman, OpenAI’s chief executive, donated $1 million to President-elect Donald J. Trump’s inaugural fund, joining a number of other tech executives who are working to improve their relationships with Mr. Trump.",https://www.nytimes.com/2025/01/13/technology/openai-economic-blueprint.html,34,4,227,5.705882352941177,2025-01,december sam altman openai’s chief executive donated million presidentelect donald j trump’s inaugural fund joining number tech executives working improve relationships mr trump,"['december', 'sam', 'altman', 'openai', '’s', 'chief', 'executive', 'donated', 'million', 'presidentelect', 'donald', 'j', 'trump', '’s', 'inaugural', 'fund', 'joining', 'number', 'tech', 'executives', 'working', 'improve', 'relationships', 'mr', 'trump']",december sam altman openai ’s chief executive donate million presidentelect donald j trump ’s inaugural fund join number tech executive work improve relationship mr trump,0.4939,Positive,"['december', 'sam', 'altman', 'openai', '’', 's', 'chief', 'executive', 'donated', 'million', 'presidentelect', 'donald', 'j', 'trump', '’', 's', 'inaugural', 'fund', 'joining', 'number', 'tech', 'executives', 'working', 'improve', 'relationships', 'mr', 'trump']",3
At the Intersection of A.I. and Spirituality,2025-01-03 10:00:23+00:00,By Eli Tan,Technology,"Modern religious leaders are experimenting with A.I. just as earlier generations examined radio, television and the internet.","To members of his synagogue, the voice that played over the speakers of Congregation Emanu El in Houston sounded just like Rabbi Josh Fixler’s.",https://www.nytimes.com/2025/01/03/technology/ai-religious-leaders.html,24,2,143,5.0,2025-01,members synagogue voice played speakers congregation emanu el houston sounded like rabbi josh fixler’s,"['members', 'synagogue', 'voice', 'played', 'speakers', 'congregation', 'emanu', 'el', 'houston', 'sounded', 'like', 'rabbi', 'josh', 'fixler', '’s']",members synagogue voice play speaker congregation emanu el houston sound like rabbi josh fixler ’s,0.5994,Positive,"['members', 'synagogue', 'voice', 'played', 'speakers', 'congregation', 'emanu', 'el', 'houston', 'sounded', 'like', 'rabbi', 'josh', 'fixler', '’', 's']",2
The 2024 Good Tech Awards,2024-12-30 17:00:02+00:00,By Kevin Roose,Technology,"In a year of continued A.I. progress, “founder mode” drama and a Trump election win, a few tech projects stood out for their clear benefits to humanity.","In the tech industry, 2024 was a year of fast change and shifting winds.",https://www.nytimes.com/2024/12/30/technology/good-tech-awards.html,14,2,72,4.214285714285714,2024-12,tech industry year fast change shifting winds,"['tech', 'industry', 'year', 'fast', 'change', 'shifting', 'winds']",tech industry year fast change shift wind,0.0,Neutral,"['tech', 'industry', 'year', 'fast', 'change', 'shifting', 'winds']",2
